skel1,sf1,skel2,sf2,skel_cond,sf_cond,dist
23,Skel,23,Skel,same,same,4938.812297244654
23,Skel,23,Bulge,same,diff,7526.772917149926
23,Skel,31,Skel,diff,same,5955.002046437538
23,Skel,31,Bulge,diff,diff,8082.859264127078
23,Skel,26,Skel,diff,same,6462.058421656949
23,Skel,26,Bulge,diff,diff,8458.123322007537
23,Bulge,23,Skel,same,diff,7526.772917149926
23,Bulge,23,Bulge,same,same,6492.399284475051
23,Bulge,31,Skel,diff,diff,8156.807318945301
23,Bulge,31,Bulge,diff,same,8928.245812970074
23,Bulge,26,Skel,diff,diff,8650.763927702934
23,Bulge,26,Bulge,diff,same,9514.699906871101
31,Skel,23,Skel,diff,same,5955.002046437538
31,Skel,23,Bulge,diff,diff,8156.807318945301
31,Skel,31,Skel,same,same,4592.0074963821335
31,Skel,31,Bulge,same,diff,7269.096407722587
31,Skel,26,Skel,diff,same,6786.619339850107
31,Skel,26,Bulge,diff,diff,8825.369835580637
31,Bulge,23,Skel,diff,diff,8082.859264127078
31,Bulge,23,Bulge,diff,same,8928.245812970074
31,Bulge,31,Skel,same,diff,7269.096407722587
31,Bulge,31,Bulge,same,same,5543.579310968265
31,Bulge,26,Skel,diff,diff,8746.580009345747
31,Bulge,26,Bulge,diff,same,9789.191142239137
26,Skel,23,Skel,diff,same,6462.058421656949
26,Skel,23,Bulge,diff,diff,8650.763927702934
26,Skel,31,Skel,diff,same,6786.619339850107
26,Skel,31,Bulge,diff,diff,8746.580009345747
26,Skel,26,Skel,same,same,4251.581002125655
26,Skel,26,Bulge,same,diff,7441.319266260822
26,Bulge,23,Skel,diff,diff,8458.123322007536
26,Bulge,23,Bulge,diff,same,9514.699906871101
26,Bulge,31,Skel,diff,diff,8825.369835580635
26,Bulge,31,Bulge,diff,same,9789.191142239137
26,Bulge,26,Skel,same,diff,7441.319266260822
26,Bulge,26,Bulge,same,same,4987.984292216296
